severity,issue_type,key,details
INFO,ITEMS_DIR_ENSURE_DONE,inputs/bricklink/items,Inserted placeholder rows for 158784 missing items (bl_color_id=0).
INFO,WEIGHTS_CSV_FILTER,inputs/bricklink/parts_weight.csv,Filtering weights CSV to 93191 missing parts.
INFO,WEIGHTS_APPLIED,inputs/bricklink/parts_weight.csv,weights applied (updated_rows=131297)
INFO,WEIGHTS_BRICKLINK_DONE,,"BrickLink weight fill: parts_missing_before=1565, parts_filled=1565, parts_still_missing=0, rows_updated=1586."
INFO,BRICKOWL_BOID_RESOLVE_START,,"A resolver BOID para 132883 pares (part,bo_color)."
WARN,BRICKOWL_ID_LOOKUP_EMPTY,122c01assy2,id_lookup devolveu 0 BOIDs para bl_item_no=122c01assy2
WARN,BRICKOWL_BO_COLOR_ID_MISSING,140.1stk01,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_BO_COLOR_ID_MISSING,140.1stk02,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,251c01,id_lookup devolveu 0 BOIDs para bl_item_no=251c01
WARN,BRICKOWL_ID_LOOKUP_EMPTY,251c01,id_lookup devolveu 0 BOIDs para bl_item_no=251c01
WARN,BRICKOWL_BO_COLOR_ID_MISSING,379.1stk01,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_BO_COLOR_ID_MISSING,522cpb01,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_BO_COLOR_ID_MISSING,522cpb02,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_BO_COLOR_ID_MISSING,522cpb03,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_BO_COLOR_ID_MISSING,522cpb05,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_BO_COLOR_ID_MISSING,522cpb06,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_BO_COLOR_ID_MISSING,522pb001,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_BO_COLOR_ID_MISSING,522pb002,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_BO_COLOR_ID_MISSING,522pb003,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_BO_COLOR_ID_MISSING,522pb004,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_BO_COLOR_ID_MISSING,522pb005,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_BO_COLOR_ID_MISSING,522pb010,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_BO_COLOR_ID_MISSING,522px3,Sem bo_color_id (mapeamento BL->BO indisponível e DB não tem valor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,765c190a,id_lookup devolveu 0 BOIDs para bl_item_no=765c190a
WARN,BRICKOWL_ID_LOOKUP_EMPTY,787c01,id_lookup devolveu 0 BOIDs para bl_item_no=787c01
WARN,BRICKOWL_ID_LOOKUP_EMPTY,787c01,id_lookup devolveu 0 BOIDs para bl_item_no=787c01
WARN,BRICKOWL_ID_LOOKUP_EMPTY,787c02,id_lookup devolveu 0 BOIDs para bl_item_no=787c02
WARN,BRICKOWL_ID_LOOKUP_EMPTY,970c00pb0473,id_lookup devolveu 0 BOIDs para bl_item_no=970c00pb0473
WARN,BRICKOWL_ID_LOOKUP_EMPTY,973pb1520,id_lookup devolveu 0 BOIDs para bl_item_no=973pb1520
WARN,BRICKOWL_ID_LOOKUP_EMPTY,973pb1547,id_lookup devolveu 0 BOIDs para bl_item_no=973pb1547
WARN,BRICKOWL_ID_LOOKUP_EMPTY,973pb1558,id_lookup devolveu 0 BOIDs para bl_item_no=973pb1558
WARN,BRICKOWL_ID_LOOKUP_EMPTY,973pb2174c01,id_lookup devolveu 0 BOIDs para bl_item_no=973pb2174c01
WARN,BRICKOWL_ID_LOOKUP_EMPTY,973pb2326c01,id_lookup devolveu 0 BOIDs para bl_item_no=973pb2326c01
WARN,BRICKOWL_ID_LOOKUP_EMPTY,973pb3035c01,id_lookup devolveu 0 BOIDs para bl_item_no=973pb3035c01
WARN,BRICKOWL_ID_LOOKUP_EMPTY,973pb4081c01,id_lookup devolveu 0 BOIDs para bl_item_no=973pb4081c01
WARN,BRICKOWL_ID_LOOKUP_EMPTY,973pb4082c01,id_lookup devolveu 0 BOIDs para bl_item_no=973pb4082c01
WARN,BRICKOWL_ID_LOOKUP_EMPTY,973pb4083c01,id_lookup devolveu 0 BOIDs para bl_item_no=973pb4083c01
WARN,BRICKOWL_ID_LOOKUP_EMPTY,973pb4085c01,id_lookup devolveu 0 BOIDs para bl_item_no=973pb4085c01
WARN,BRICKOWL_ID_LOOKUP_EMPTY,973pb4531,id_lookup devolveu 0 BOIDs para bl_item_no=973pb4531
WARN,BRICKOWL_ID_LOOKUP_EMPTY,973pb5732c01,id_lookup devolveu 0 BOIDs para bl_item_no=973pb5732c01
WARN,BRICKOWL_ID_LOOKUP_EMPTY,973pb6183c01,id_lookup devolveu 0 BOIDs para bl_item_no=973pb6183c01
WARN,BRICKOWL_ID_LOOKUP_EMPTY,973pb6184c01,id_lookup devolveu 0 BOIDs para bl_item_no=973pb6184c01
WARN,BRICKOWL_ID_LOOKUP_EMPTY,973pb6185c01,id_lookup devolveu 0 BOIDs para bl_item_no=973pb6185c01
