bl_part_id,boid,bk_part_id,item_type,brikick_name,api_item_type,bk_part_key,bl_color_id,bo_color_id,bk_color_id,weight,bk_img_url
0064,,1,B,Books,BOOK,BK-B-00000001,0,,0,,
0112510069-1,,2,B,Books,BOOK,BK-B-00000002,0,,0,,
0112510069-2,,3,B,Books,BOOK,BK-B-00000003,0,,0,,
0112510069-3,,4,B,Books,BOOK,BK-B-00000004,0,,0,,
0112510069-4,,5,B,Books,BOOK,BK-B-00000005,0,,0,,
022332,,6,B,Books,BOOK,BK-B-00000006,0,,0,,
043257,,7,B,Books,BOOK,BK-B-00000007,0,,0,,
0434968641,,8,B,Books,BOOK,BK-B-00000008,0,,0,,
0434968676,,9,B,Books,BOOK,BK-B-00000009,0,,0,,
0434974676,,10,B,Books,BOOK,BK-B-00000010,0,,0,,
0434979872,,11,B,Books,BOOK,BK-B-00000011,0,,0,,
0439745675,,12,B,Books,BOOK,BK-B-00000012,0,,0,,
0439854237,,13,B,Books,BOOK,BK-B-00000013,0,,0,,
066971,,14,B,Books,BOOK,BK-B-00000014,0,,0,,
082300365300917,,15,B,Books,BOOK,BK-B-00000015,0,,0,,
086444-NL,,16,B,Books,BOOK,BK-B-00000016,0,,0,,
086444BE-NL,,17,B,Books,BOOK,BK-B-00000017,0,,0,,
087585,,18,B,Books,BOOK,BK-B-00000018,0,,0,,
0984,,19,B,Books,BOOK,BK-B-00000019,0,,0,,
0984SP,,20,B,Books,BOOK,BK-B-00000020,0,,0,,
0985,,21,B,Books,BOOK,BK-B-00000021,0,,0,,
0986,,22,B,Books,BOOK,BK-B-00000022,0,,0,,
0992,,23,B,Books,BOOK,BK-B-00000023,0,,0,,
0993,,24,B,Books,BOOK,BK-B-00000024,0,,0,,
1000271,,25,B,Books,BOOK,BK-B-00000025,0,,0,,
1000299,,26,B,Books,BOOK,BK-B-00000026,0,,0,,
101581,,27,B,Books,BOOK,BK-B-00000027,0,,0,,
102702DK,,28,B,Books,BOOK,BK-B-00000028,0,,0,,
102703UK,,29,B,Books,BOOK,BK-B-00000029,0,,0,,
102704SF,,30,B,Books,BOOK,BK-B-00000030,0,,0,,
102705F,,31,B,Books,BOOK,BK-B-00000031,0,,0,,
102706NL,,32,B,Books,BOOK,BK-B-00000032,0,,0,,
102707I,,33,B,Books,BOOK,BK-B-00000033,0,,0,,
102708JA,,34,B,Books,BOOK,BK-B-00000034,0,,0,,
102709N,,35,B,Books,BOOK,BK-B-00000035,0,,0,,
102712S,,36,B,Books,BOOK,BK-B-00000036,0,,0,,
102713D,,37,B,Books,BOOK,BK-B-00000037,0,,0,,
102717US,,38,B,Books,BOOK,BK-B-00000038,0,,0,,
1031b01a,,39,B,Books,BOOK,BK-B-00000039,0,,0,,
1031b01b,,40,B,Books,BOOK,BK-B-00000040,0,,0,,
1031b02a,,41,B,Books,BOOK,BK-B-00000041,0,,0,,
1031b02b,,42,B,Books,BOOK,BK-B-00000042,0,,0,,
1031b03a,,43,B,Books,BOOK,BK-B-00000043,0,,0,,
1031b03b,,44,B,Books,BOOK,BK-B-00000044,0,,0,,
1031b04a,,45,B,Books,BOOK,BK-B-00000045,0,,0,,
1031b04b,,46,B,Books,BOOK,BK-B-00000046,0,,0,,
1031b05a,,47,B,Books,BOOK,BK-B-00000047,0,,0,,
1031b05b,,48,B,Books,BOOK,BK-B-00000048,0,,0,,
1031b06a,,49,B,Books,BOOK,BK-B-00000049,0,,0,,
1031b06b,,50,B,Books,BOOK,BK-B-00000050,0,,0,,
1031b07a,,51,B,Books,BOOK,BK-B-00000051,0,,0,,
1031b07b,,52,B,Books,BOOK,BK-B-00000052,0,,0,,
1031b08a,,53,B,Books,BOOK,BK-B-00000053,0,,0,,
1031b08b,,54,B,Books,BOOK,BK-B-00000054,0,,0,,
1031b09a,,55,B,Books,BOOK,BK-B-00000055,0,,0,,
1031b09b,,56,B,Books,BOOK,BK-B-00000056,0,,0,,
1031b10a,,57,B,Books,BOOK,BK-B-00000057,0,,0,,
1031b10b,,58,B,Books,BOOK,BK-B-00000058,0,,0,,
1031b11a,,59,B,Books,BOOK,BK-B-00000059,0,,0,,
1031b11b,,60,B,Books,BOOK,BK-B-00000060,0,,0,,
1031b12a,,61,B,Books,BOOK,BK-B-00000061,0,,0,,
1031b12b,,62,B,Books,BOOK,BK-B-00000062,0,,0,,
1031b13a,,63,B,Books,BOOK,BK-B-00000063,0,,0,,
1031b13b,,64,B,Books,BOOK,BK-B-00000064,0,,0,,
1031b14a,,65,B,Books,BOOK,BK-B-00000065,0,,0,,
1031b14b,,66,B,Books,BOOK,BK-B-00000066,0,,0,,
1031b15a,,67,B,Books,BOOK,BK-B-00000067,0,,0,,
1031b15b,,68,B,Books,BOOK,BK-B-00000068,0,,0,,
1031b16a,,69,B,Books,BOOK,BK-B-00000069,0,,0,,
1031b16b,,70,B,Books,BOOK,BK-B-00000070,0,,0,,
1031b17a,,71,B,Books,BOOK,BK-B-00000071,0,,0,,
1031b17b,,72,B,Books,BOOK,BK-B-00000072,0,,0,,
1031b18a,,73,B,Books,BOOK,BK-B-00000073,0,,0,,
1031b18b,,74,B,Books,BOOK,BK-B-00000074,0,,0,,
1031b19a,,75,B,Books,BOOK,BK-B-00000075,0,,0,,
1031b19b,,76,B,Books,BOOK,BK-B-00000076,0,,0,,
1031b20a,,77,B,Books,BOOK,BK-B-00000077,0,,0,,
1031b20b,,78,B,Books,BOOK,BK-B-00000078,0,,0,,
103283,,79,B,Books,BOOK,BK-B-00000079,0,,0,,
1032b1,,80,B,Books,BOOK,BK-B-00000080,0,,0,,
1032b10,,81,B,Books,BOOK,BK-B-00000081,0,,0,,
1032b11,,82,B,Books,BOOK,BK-B-00000082,0,,0,,
1032b12,,83,B,Books,BOOK,BK-B-00000083,0,,0,,
1032b13,,84,B,Books,BOOK,BK-B-00000084,0,,0,,
1032b14,,85,B,Books,BOOK,BK-B-00000085,0,,0,,
1032b15,,86,B,Books,BOOK,BK-B-00000086,0,,0,,
1032b16,,87,B,Books,BOOK,BK-B-00000087,0,,0,,
1032b17,,88,B,Books,BOOK,BK-B-00000088,0,,0,,
1032b18,,89,B,Books,BOOK,BK-B-00000089,0,,0,,
1032b19,,90,B,Books,BOOK,BK-B-00000090,0,,0,,
