severity,issue_type,key,details
WARN,BL_COLOR_TO_BK_COLOR_CONFLICT,89,bl_color_id=89 mapped to multiple bk_color_id: 32 vs 84
WARN,BL_COLOR_TO_BK_COLOR_CONFLICT,150,bl_color_id=150 mapped to multiple bk_color_id: 79 vs 86
WARN,BL_COLOR_TO_BK_COLOR_CONFLICT,93,bl_color_id=93 mapped to multiple bk_color_id: 67 vs 88
WARN,BL_COLOR_TO_BK_COLOR_CONFLICT,94,bl_color_id=94 mapped to multiple bk_color_id: 80 vs 89
WARN,BL_COLOR_TO_BK_COLOR_CONFLICT,81,bl_color_id=81 mapped to multiple bk_color_id: 43 vs 105
WARN,BL_COLOR_TO_BK_COLOR_CONFLICT,78,bl_color_id=78 mapped to multiple bk_color_id: 92 vs 111
WARN,BL_COLOR_TO_BK_COLOR_CONFLICT,241,bl_color_id=241 mapped to multiple bk_color_id: 91 vs 174
WARN,UNKNOWN_BL_COLOR_TOKEN,7375|Ochre Yellow,Não foi possível resolver COLOR='Ochre Yellow' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,7687pb01|Ochre Yellow,Não foi possível resolver COLOR='Ochre Yellow' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,8006|Ochre Yellow,Não foi possível resolver COLOR='Ochre Yellow' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,25379|Ochre Yellow,Não foi possível resolver COLOR='Ochre Yellow' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,42042bo|Pearl Black,Não foi possível resolver COLOR='Pearl Black' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,42042ca|Pearl Black,Não foi possível resolver COLOR='Pearl Black' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,42042ja|Pearl Black,Não foi possível resolver COLOR='Pearl Black' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,42042su|Pearl Black,Não foi possível resolver COLOR='Pearl Black' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,42042vu|Pearl Black,Não foi possível resolver COLOR='Pearl Black' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,42042xa|Pearl Black,Não foi possível resolver COLOR='Pearl Black' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,42042yo|Pearl Black,Não foi possível resolver COLOR='Pearl Black' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,42042za|Pearl Black,Não foi possível resolver COLOR='Pearl Black' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,44138|Pearl Black,Não foi possível resolver COLOR='Pearl Black' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,44138|Pearl Brown,Não foi possível resolver COLOR='Pearl Brown' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,44140|Pearl Black,Não foi possível resolver COLOR='Pearl Black' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,44140|Pearl Black,Não foi possível resolver COLOR='Pearl Black' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,44140|Pearl Brown,Não foi possível resolver COLOR='Pearl Brown' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,44140|Pearl Brown,Não foi possível resolver COLOR='Pearl Brown' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,44807|Pearl Black,Não foi possível resolver COLOR='Pearl Black' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,44807|Pearl Black,Não foi possível resolver COLOR='Pearl Black' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,44807|Pearl Black,Não foi possível resolver COLOR='Pearl Black' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,44807|Pearl Black,Não foi possível resolver COLOR='Pearl Black' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,44807|Pearl Brown,Não foi possível resolver COLOR='Pearl Brown' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,44807|Pearl Brown,Não foi possível resolver COLOR='Pearl Brown' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,44807|Pearl Brown,Não foi possível resolver COLOR='Pearl Brown' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,44807|Pearl Brown,Não foi possível resolver COLOR='Pearl Brown' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,44815a|Pearl Black,Não foi possível resolver COLOR='Pearl Black' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,50602|Pearl Black,Não foi possível resolver COLOR='Pearl Black' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,50627|Pearl Black,Não foi possível resolver COLOR='Pearl Black' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,50629|Pearl Black,Não foi possível resolver COLOR='Pearl Black' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,69901pb14|Ochre Yellow,Não foi possível resolver COLOR='Ochre Yellow' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,98726|Ochre Yellow,Não foi possível resolver COLOR='Ochre Yellow' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
WARN,UNKNOWN_BL_COLOR_TOKEN,113605pb01|Ochre Yellow,Não foi possível resolver COLOR='Ochre Yellow' via color-map CSV (name->id). Verificar/ajustar colors_seed.csv; fallback BrickLink colors API (se configurada).
INFO,ITEMS_DIR_ENSURE_DONE,inputs/bricklink/items,Inserted placeholder rows for 158718 missing items (bl_color_id=0).
INFO,WEIGHTS_APPLIED,inputs/bricklink/parts_weight.csv,weights applied (updated_rows=131277)
WARN,WEIGHTS_BRICKLINK_OAUTH_MISSING,,BrickLink OAuth não configurado; weights em falta permanecerão NULL.
