bl_part_id,bl_color_id,boid
14pb10,1,621426
14pb11,1,792326
44,11,77206
44,7,77206
44,153,77206
44,85,77206
44,6,77206
44,86,77206
44,9,77206
44,5,77206
44,1,77206
44,3,77206
52,64,138501
52,22,138501
52,80,138501
52,95,138501
52,162,138501
52,65,138501
52,67,138501
52,115,138501
52,48,138501
52,230,138501
52,108,138501
52,14,138501
52,50,138501
52,20,138501
52,15,138501
52,74,138501
52,16,138501
52,98,138501
52,17,138501
52,1,138501
52,3,138501
59,21,962576
59,22,962576
60c01,9,120803
60c01,1,120803
67c01,7,783417
67c01,1,783417
69c01,1,479440
69c03,1,584067
75c03,10,371925
75c03,86,371925
75c03,5,371925
75c03,88,371925
75c03,3,371925
75c04,11,430725
75c04,7,430725
75c04,10,430725
75c04,66,430725
75c04,5,430725
75c04,1,430725
75c05,11,999392
75c05,7,999392
75c05,85,999392
75c05,10,999392
75c05,4,999392
75c05,5,999392
75c05,3,999392
75c06,11,870530
75c06,36,870530
75c06,84,870530
75c06,10,870530
75c06,86,870530
75c07,11,648015
75c07,7,648015
75c07,85,648015
75c07,9,648015
75c07,4,648015
75c07,5,648015
75c07,88,648015
75c07,1,648015
75c08,11,645039
75c08,84,645039
75c08,63,645039
75c08,10,645039
75c08,59,645039
75c08,86,645039
75c08,4,645039
75c08,5,645039
75c08,3,645039
75c09,11,684152
75c09,110,684152
75c09,6,684152
75c09,86,684152
75c09,9,684152
75c09,4,684152
75c09,66,684152
75c09,1,684152
75c10,11,787905
75c10,36,787905
75c10,10,787905
75c10,95,787905
75c10,86,787905
75c10,65,787905
75c10,115,787905
75c10,66,787905
75c10,5,787905
75c10,2,787905
75c10,1,787905
75c10,3,787905
75c11,11,80204
75c11,7,80204
75c11,10,80204
75c11,86,80204
75c11,4,80204
75c11,66,80204
75c11,5,80204
75c11,88,80204
75c11,2,80204
75c11,3,80204
75c12,11,992639
75c12,85,992639
75c12,10,992639
75c12,95,992639
75c12,86,992639
75c12,115,992639
75c12,66,992639
75c12,5,992639
75c12,88,992639
75c12,1,992639
75c12,3,992639
75c13,11,161868
75c13,7,161868
75c13,10,161868
75c13,6,161868
75c13,86,161868
75c13,77,161868
75c13,66,161868
75c13,88,161868
75c14,11,351894
75c14,85,351894
75c14,59,351894
75c14,86,351894
75c14,5,351894
75c14,88,351894
75c15,11,314770
75c15,7,314770
75c15,3,314770
75c16,11,540521
75c16,10,540521
75c16,86,540521
75c16,77,540521
75c16,115,540521
75c16,24,540521
75c16,88,540521
75c16,2,540521
75c16,1,540521
75c16,3,540521
75c17,7,790897
75c17,10,790897
75c17,5,790897
75c18,11,719439
75c18,7,719439
75c18,66,719439
75c18,5,719439
75c18,88,719439
75c18,1,719439
75c19,11,978562
75c19,7,978562
75c19,10,978562
75c19,66,978562
75c19,5,978562
75c19,3,978562
75c20,7,534846
75c20,36,534846
75c20,84,534846
75c20,69,534846
75c20,86,534846
75c20,9,534846
75c20,4,534846
75c20,115,534846
75c20,5,534846
75c20,88,534846
75c21,86,43256
75c21,3,43256
