color_name,bl_color_name,bl_color_id,bo_color_id,rb_color_id,bk_color_id
(Not Applicable),(Not Applicable),0,,9999,0
Aqua,Aqua,41,13,118,1
Bionicle Copper,Bionicle Copper,237,233,1083,2
Bionicle Gold,Bionicle Gold,238,231,1084,3
Bionicle Silver,Bionicle Silver,239,229,1085,4
Black,Black,11,38,0,5
Blue,Blue,7,39,1,6
Blue Violet,Blue Violet,174,,1147,7
Bright Green,Bright Green,36,41,10,8
Bright Light Blue,Bright Light Blue,105,42,212,9
Bright Light Orange,Bright Light Orange,110,43,191,10
Bright Light Yellow,Bright Light Yellow,103,44,226,11
Bright Pink,Bright Pink,104,45,29,12
Brown,Brown,8,46,6,13
Chrome Antique Brass,Chrome Antique Brass,57,110,60,14
Chrome Blue,Chrome Blue,52,112,61,15
Chrome Gold,Chrome Gold,21,2,334,16
Chrome Green,Chrome Green,64,113,62,17
Chrome Pink,Chrome Pink,82,114,63,18
Chrome Silver,Chrome Silver,22,115,383,19
Clikits Lavender,Clikits Lavender,227,223,1007,20
Copper,Copper,84,116,134,21
Coral,Coral,220,173,1050,22
Dark Azure,Dark Azure,153,47,321,23
Dark Blue,Dark Blue,63,48,272,24
Dark Bluish Gray,Dark Bluish Gray,85,50,72,25
Dark Brown,Dark Brown,120,51,308,26
Dark Gray,Dark Gray,10,53,8,27
Dark Green,Dark Green,80,20,288,28
Dark Nougat,Dark Nougat,225,160,1067,29
Dark Orange,Dark Orange,68,54,484,30
Dark Pink,Dark Pink,47,17,5,31
Dark Red,Dark Red,59,56,320,33
Dark Royal Blue,Dark Royal Blue,109,49,23,34
Dark Salmon,Dark Salmon,231,158,1068,35
Dark Tan,Dark Tan,69,57,28,36
Dark Turquoise,Dark Turquoise,39,58,3,37
Dark Yellow,Dark Yellow,161,169,1066,38
Earth Orange,Earth Orange,29,59,366,39
Fabuland Brown,Fabuland Brown,106,23,450,40
Fabuland Lime,Fabuland Lime,248,,1077,41
Fabuland Orange,Fabuland Orange,160,60,1012,42
Flat Silver,Flat Silver,95,117,179,44
Glitter Trans-Clear,Glitter Trans-Clear,101,131,117,45
Glitter Trans-Dark Pink,Glitter Trans-Dark Pink,100,132,114,46
Glitter Trans-Light Blue,Glitter Trans-Light Blue,162,165,1003,47
Glitter Trans-Neon Green,Glitter Trans-Neon Green,163,167,1002,48
Glitter Trans-Orange,Glitter Trans-Orange,222,179,1052,49
Glitter Trans-Purple,Glitter Trans-Purple,102,22,129,50
Glow In Dark Opaque,Glow In Dark Opaque,46,127,21,51
Glow In Dark Trans,Glow In Dark Trans,118,128,294,52
Glow In Dark White,Glow in Dark White,159,129,1000,53
Green,Green,6,61,2,54
Lavender,Lavender,154,36,31,55
Lemon,Lemon,171,67,1076,56
Light Aqua,Light Aqua,152,62,323,57
Light Blue,Light Blue,62,63,9,58
Light Bluish Gray,Light Bluish Gray,86,64,71,59
Light Brown,Light Brown,91,52,86,60
Light Gray,Light Gray,9,66,7,61
Light Green,Light Green,38,11,17,62
Light Lilac,Light Lilac,246,16,1093,63
Light Lime,Light Lime,35,67,120,64
Light Nougat,Light Nougat,90,65,78,65
Light Orange,Light Orange,32,8,125,66
Light Salmon,Light Salmon,26,5,100,68
Light Turquoise,Light Turquoise,40,12,11,69
Light Violet,Light Violet,44,16,20,70
Light Yellow,Light Yellow,33,9,18,71
Lilac,Lilac,245,221,1001,72
Lime,Lime,34,70,27,73
Little Robots,Little Robots Blue,247,,1074,74
Magenta,Magenta,71,72,26,75
Maersk Blue,Maersk Blue,72,71,313,76
Medium Azure,Medium Azure,156,73,322,77
Medium Blue,Medium Blue,42,14,73,78
Medium Dark Flesh,Medium Nougat,150,74,84,79
